page,clicks,impressions,ctr_pct,position
https://rodenlaw.com/locations/georgia/darien/kings-bay/,0,15,0,8.47
https://rodenlaw.com/locations/south-carolina/charleston/hollywood/,0,15,0,7.27
https://rodenlaw.com/locations/georgia/darien/darien/,1,14,7.143,5.5
https://rodenlaw.com/locations/south-carolina/north-charleston/summerville/nexton/,0,13,0,34.46
https://rodenlaw.com/locations/georgia/darien/blackshear/,0,12,0,11.75
https://rodenlaw.com/locations/south-carolina/columbia/st-andrews/,0,11,0,7.91
https://rodenlaw.com/locations/georgia/savannah/richmond-hill/,0,10,0,9.8
https://rodenlaw.com/locations/south-carolina/columbia/red-bank/,0,10,0,6.2
https://rodenlaw.com/locations/south-carolina/north-charleston/charleston-heights/,0,10,0,7.5
https://rodenlaw.com/locations/south-carolina/myrtle-beach/north-myrtle-beach/,1,8,12.5,5.62
https://rodenlaw.com/locations/south-carolina/columbia/blythewood/,0,8,0,6.12
https://rodenlaw.com/locations/south-carolina/columbia/dentsville/,0,8,0,8.75
https://rodenlaw.com/locations/south-carolina/columbia/irmo/,0,8,0,7.12
https://rodenlaw.com/locations/south-carolina/north-charleston/hanahan/,0,8,0,8.38
https://rodenlaw.com/es/locations/georgia/darien/,0,7,0,6.14
https://rodenlaw.com/locations/georgia/darien/jesup/,0,7,0,7
https://rodenlaw.com/locations/georgia/darien/sea-island/,0,7,0,6.57
https://rodenlaw.com/locations/georgia/savannah/guyton/,0,7,0,5.14
https://rodenlaw.com/locations/south-carolina/columbia/camden/,0,7,0,8.29
https://rodenlaw.com/locations/georgia/savannah/effingham-county/egypt/,0,6,0,10.5
https://rodenlaw.com/locations/georgia/savannah/hinesville/,0,6,0,14.67
https://rodenlaw.com/locations/georgia/savannah/rincon/,0,6,0,78
https://rodenlaw.com/locations/georgia/savannah/whitemarsh-island/,0,6,0,5.5
https://rodenlaw.com/locations/south-carolina/charleston/seabrook-island/,0,6,0,19.83
https://rodenlaw.com/locations/south-carolina/charleston/west-ashley/shadowmoss/,0,6,0,8
https://rodenlaw.com/locations/south-carolina/columbia/oak-grove/,0,6,0,5.83
