office	post_id	state	date	action	url	cls
Savannah	888096724112790866	LIVE	2024-04-12	LEARN_MORE	https://www.rodenlaw.com/blog/why-mitigate-damages-after-a-car-crash/	ok (www/slash fix)
Savannah	4626996378923207226	LIVE	2024-03-20	LEARN_MORE	https://www.rodenlaw.com/blog/leg-pain-and-leg-injuries-from-crash/	ok (www/slash fix)
Savannah	9097504296416833929	LIVE	2023-07-11	LEARN_MORE	https://www.rodenlaw.com/blog/value-of-pain-and-suffering/	ok (www/slash fix)
Savannah	1214414055810515965	LIVE	2023-06-06	LEARN_MORE	https://www.rodenlaw.com/blog/liability-for-epilepsy-related-car-accidents/	ok (www/slash fix)
Savannah	9157327774846497429	LIVE	2023-05-03	LEARN_MORE	https://www.rodenlaw.com/blog/answering-insurance-questions-after-crash/	ok (www/slash fix)
Charleston	930794876213200417	REJECTED	2026-08-09	LEARN_MORE	https://rodenlaw.com/es/blog/green-grove-mark-clark-expressway-uninsured-motorist-lawyer-north-charleston/	STALE-generic
Charleston	4699149135680761051	REJECTED	2026-08-06	LEARN_MORE	https://rodenlaw.com/blog/green-grove-mark-clark-expressway-uninsured-motorist-lawyer-north-charleston/	STALE-generic
Charleston	8487445632826242124	REJECTED	2026-07-28	LEARN_MORE	https://rodenlaw.com/blog/hipaa-violation-lawyer/	ok
Charleston	4788557287660095858	REJECTED	2026-07-26	LEARN_MORE	https://rodenlaw.com/es/blog/green-grove-dorchester-road-atv-accident-lawyer-north-charleston/	STALE-generic
Charleston	6413617521390477706	REJECTED	2026-07-23	LEARN_MORE	https://rodenlaw.com/blog/green-grove-dorchester-road-atv-accident-lawyer-north-charleston/	STALE-generic
Charleston	8919069624927681207	REJECTED	2026-07-20	LEARN_MORE	https://rodenlaw.com/es/blog/car-accident-attorney-near-me-west-ashley-citadel-mall/	STALE-generic
Charleston	1697895103981553893	REJECTED	2026-07-17	LEARN_MORE	https://rodenlaw.com/blog/car-accident-attorney-near-me-west-ashley-citadel-mall/	STALE-generic
Charleston	3467989769578033034	REJECTED	2026-07-14	LEARN_MORE	https://rodenlaw.com/es/blog/mount-pleasant-mark-clark-expressway-i-526-motorcycle-accident-lawyer/	STALE-generic
