Country,Clicks,Impressions,CTR,Position
Grenada,0,129,0%,8.62
South Sudan,0,126,0%,7.83
Suriname,0,126,0%,13.56
Somalia,0,121,0%,11.06
Laos,0,119,0%,16.22
Congo - Kinshasa,0,117,0%,14.94
Yemen,0,115,0%,10.1
Afghanistan,0,108,0%,13.53
Haiti,0,106,0%,9.25
Sierra Leone,0,104,0%,10.95
Lesotho,0,88,0%,8.9
Macau,0,84,0%,12.25
Mali,0,77,0%,17.48
St. Kitts & Nevis,0,68,0%,12.25
Benin,0,63,0%,18.14
Madagascar,0,60,0%,19.23
Gambia,0,57,0%,11.54
Guernsey,0,50,0%,8.88
Solomon Islands,0,48,0%,17.38
Vanuatu,0,47,0%,6.26
Tajikistan,0,44,0%,19.32
Curaçao,0,43,0%,10.91
Gibraltar,0,39,0%,8.54
Cape Verde,0,36,0%,14.97
Andorra,0,36,0%,18.36
Mauritania,0,36,0%,18.44
American Samoa,0,34,0%,12.56
Samoa,0,32,0%,9.41
Sint Maarten,0,31,0%,9.45
Guinea,0,23,0%,12.78
Burundi,0,23,0%,16.7
French Polynesia,0,22,0%,9.95
Tonga,0,21,0%,6.24
Micronesia,0,21,0%,14.14
Western Sahara,0,21,0%,18.86
Timor-Leste,0,20,0%,8.7
Chad,0,20,0%,9.15
Faroe Islands,0,20,0%,13.15
Anguilla,0,19,0%,7.47
Palau,0,19,0%,8.79
Martinique,0,19,0%,10.11
Niger,0,16,0%,9.25
Djibouti,0,16,0%,14.38
Greenland,0,15,0%,6.67
North Korea,0,12,0%,7.33
New Caledonia,0,12,0%,8.67
Kiribati,0,11,0%,12.55
Nauru,0,10,0%,5.5
Marshall Islands,0,10,0%,12.5
Cook Islands,0,10,0%,17.8
French Guiana,0,10,0%,22.7
Liechtenstein,0,10,0%,32
Caribbean Netherlands,0,9,0%,6.22
Antarctica,0,9,0%,8.44
Monaco,0,8,0%,9.75
San Marino,0,8,0%,26.5
Eritrea,0,7,0%,8.71
St. Helena,0,7,0%,19.86
St. Barthélemy,0,5,0%,15
Comoros,0,4,0%,6.25
Guinea-Bissau,0,4,0%,15
U.S. Outlying Islands,0,4,0%,15.75
Montserrat,0,3,0%,4.33
Åland Islands,0,3,0%,10.67
Central African Republic,0,2,0%,5.5
Equatorial Guinea,0,2,0%,6.5
Christmas Island,0,2,0%,12
Svalbard & Jan Mayen,0,2,0%,15.5
British Indian Ocean Territory,0,1,0%,10
Tuvalu,0,1,0%,10
Mayotte,0,1,0%,22
