group,path,clicks16m,impr16m,pos16m,clicks28d,impr28d,pos28d,target,target_ok,inbound,es_twin,post_id
pipeline,/blog/garden-city-ga-21-augusta-road-car-accident-lawyer/,1,55,13.0,0,30,17.8,/practice-areas/car-accident-lawyers/,True,0,/es/blog/garden-city-ga-21-augusta-road-car-accident-lawyer/(trash),4958
pipeline,/blog/mount-pleasant-johnnie-dodds-us-17-uninsured-motorist-lawyer/,1,99,9.2,0,20,9.5,/practice-areas/car-accident-lawyers/,True,0,/es/blog/mount-pleasant-johnnie-dodds-us-17-uninsured-motorist-lawyer/(trash),4978
pipeline,/blog/cayce-12th-street-uninsured-motorist-lawyer/,1,48,16.9,0,8,10.5,/practice-areas/car-accident-lawyers/,True,0,/es/blog/cayce-12th-street-uninsured-motorist-lawyer/(trash),5025
pipeline,/blog/eastern-wharf-harbor-street-electric-scooter-accident-lawyer/,0,237,5.9,0,16,10.7,/practice-areas/electric-scooter-accident-lawyers/,True,0,/es/blog/eastern-wharf-harbor-street-electric-scooter-accident-lawyer/(publish),5037
pipeline,/es/blog/eastern-wharf-harbor-street-electric-scooter-accident-lawyer/,0,32,25.1,0,13,26.2,/es/practice-areas/electric-scooter-accident-lawyers/,True,0,,5039
pipeline,/blog/boys-estate-glynn-county-best-car-accident-lawyer/,0,195,8.4,0,73,6.9,/practice-areas/car-accident-lawyers/,True,0,/es/blog/boys-estate-glynn-county-best-car-accident-lawyer/(publish),5045
pipeline,/es/blog/boys-estate-glynn-county-best-car-accident-lawyer/,0,0,,0,0,,/es/practice-areas/car-accident-lawyers/,True,0,,5047
pipeline,/blog/n-lake-drive-us-17-business-best-car-accident-lawyer/,0,48,23.1,0,9,20.1,/practice-areas/car-accident-lawyers/,True,0,/es/blog/n-lake-drive-us-17-business-best-car-accident-lawyer/(publish),5049
pipeline,/es/blog/n-lake-drive-us-17-business-best-car-accident-lawyer/,0,29,39.8,0,5,13.0,/es/practice-areas/car-accident-lawyers/,True,0,,5119
pipeline,/blog/old-fort-jackson-savannah-fatal-truck-accident-lawyer/,1,85,14.5,0,51,15.1,/practice-areas/truck-accident-lawyers/,True,0,/es/blog/old-fort-jackson-savannah-fatal-truck-accident-lawyer/(publish),5160
pipeline,/es/blog/old-fort-jackson-savannah-fatal-truck-accident-lawyer/,0,0,,0,0,,/es/practice-areas/truck-accident-lawyers/,True,0,,5228
subloc,/locations/south-carolina/charleston/mount-pleasant/,3,2069,17.1,0,1238,15.8,/locations/south-carolina/charleston/,True,10,,3762
subloc,/locations/south-carolina/north-charleston/summerville/,3,477,26.1,0,108,25.1,/locations/south-carolina/north-charleston/,True,5,,3764
subloc,/locations/south-carolina/north-charleston/goose-creek/,2,13975,13.7,0,706,27.7,/locations/south-carolina/north-charleston/,True,4,,3766
subloc,/locations/south-carolina/charleston/james-island/,1,899,13.3,0,205,17.1,/locations/south-carolina/charleston/,True,3,,3767
subloc,/locations/south-carolina/charleston/isle-of-palms/,1,312,9.6,0,58,17.9,/locations/south-carolina/charleston/,True,6,,3773
subloc,/locations/georgia/savannah/pooler/,1,229,14.0,0,2,7.5,/locations/georgia/savannah/,True,0,,3788
subloc,/locations/georgia/savannah/port-wentworth/,1,611,10.2,0,25,19.6,/locations/georgia/savannah/,True,0,,3792
subloc,/locations/georgia/savannah/hinesville/,1,328,11.5,0,8,13.1,/locations/georgia/savannah/,True,0,,3797
subloc,/locations/georgia/savannah/statesboro/,1,577,11.1,0,5,7.4,/locations/georgia/savannah/,True,0,,3798
