year,state,corridor,county,fatalities,truck_involved,truck_tractor_involved,land_use,roadway,latitude,longitude
2021,SC,I-95,COLLETON (29),1,False,False,Rural,I-95,32.95695833,-80.679838890
2021,SC,I-95,ORANGEBURG (75),1,False,False,Rural,I-95,33.40094167,-80.510738890
2021,SC,I-26,LEXINGTON (63),1,False,False,Rural,I-26,33.89450278,-81.044105560
2021,SC,I-26,SPARTANBURG (83),1,True,False,Rural,I-26,34.63564167,-81.910666670
2021,SC,I-95,CLARENDON (27),1,True,False,Rural,I-95,33.68520833,-80.259258330
2021,SC,I-95,CLARENDON (27),1,True,True,Rural,I-95,33.74033056,-80.208130560
2021,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26 EXIT RAMP,32.79709167,-79.941313890
2021,SC,I-95,COLLETON (29),1,False,False,Rural,I-95,32.85066389,-80.734208330
2021,SC,I-95,COLLETON (29),1,False,False,Rural,I-95,32.95474444,-80.680858330
2021,SC,I-26,LEXINGTON (63),1,False,False,Rural,I-26,34.18030556,-81.327572220
2021,SC,I-26,LEXINGTON (63),2,False,False,Rural,I-26,33.89341667,-81.042891670
2021,SC,I-95,JASPER (53),1,False,False,Rural,I-95,32.27035278,-81.083588890
2021,SC,I-95,DILLON (33),1,False,False,Rural,I-95,34.32668056,-79.572855560
2021,SC,I-26,BERKELEY (15),1,True,True,Rural,I-26,33.12753333,-80.290002780
2021,SC,I-26,CALHOUN (17),1,True,True,Rural,I-26,33.70053056,-80.915186110
2021,SC,I-95,DORCHESTER (35),1,True,False,Rural,I-95 RAMP,33.19588889,-80.604519440
2021,SC,I-26,BERKELEY (15),1,False,False,Urban,I-26,33.01987222,-80.126591670
2021,SC,I-26,NEWBERRY (71),1,True,False,Rural,I-26,34.23318611,-81.444313890
2021,SC,I-95,JASPER (53),1,True,False,Rural,I-95,32.27366111,-81.079869440
2021,SC,I-26,CALHOUN (17),2,False,False,Rural,I-26,33.83333889,-81.021111110
