keys,clicks,impressions,ctr,position
and,0,18,0.00,23.5
ggy,0,17,0.00,13.8
asm,0,15,0.00,20.0
ton,0,14,0.00,5.4
wsm,0,14,0.00,14.3
kir,0,12,0.00,23.4
mrt,0,12,0.00,31.2
gin,0,11,0.00,7.9
aia,0,10,0.00,25.8
fro,0,9,0.00,32.7
fsm,0,9,0.00,20.0
esh,0,8,0.00,40.0
tkm,0,8,0.00,31.0
mtq,1,7,14.29,27.7
bdi,0,7,0.00,30.3
bes,0,6,0.00,29.3
cok,0,6,0.00,21.3
dji,0,6,0.00,27.0
grl,0,6,0.00,19.5
lie,0,5,0.00,67.2
mco,0,5,0.00,22.8
smr,0,5,0.00,61.0
tls,0,5,0.00,15.4
guf,0,4,0.00,2.8
ncl,0,4,0.00,11.2
ner,0,4,0.00,8.0
nru,0,4,0.00,7.0
mhl,0,3,0.00,32.0
pyf,0,3,0.00,42.3
shn,0,3,0.00,37.0
umi,0,3,0.00,71.7
caf,0,2,0.00,10.0
com,0,2,0.00,7.0
gnq,0,2,0.00,6.5
myt,0,2,0.00,42.5
plw,0,2,0.00,9.0
stp,0,2,0.00,56.5
cxr,0,1,0.00,12.0
gnb,0,1,0.00,15.0
iot,0,1,0.00,10.0
maf,0,1,0.00,8.0
msr,0,1,0.00,5.0
