tier	traffic	risk	months_stale	type	locale	byline	url	risk_flags
P2	0	16	4	post	en	y	/blog/charleston-tourist-injuries-premises-liability-hotels-restaurants/	statute,fault,sol,damages,premises,medspecials
P2	0	16	3	practice_area	en	y	/practice-areas/personal-injury-lawyers/	statute,fault,sol,damages,premises,medspecials
P2	0	16	1	post	en	y	/blog/how-do-i-know-if-i-have-a-personal-injury-case/	statute,fault,sol,damages,premises,medspecials
P2	0	16	1	post	en	y	/blog/are-accident-lawyers-worth-it/	statute,fault,sol,damages,premises,medspecials
P2	0	16	1	post	en	y	/blog/how-to-maximize-your-car-accident-compensation-in-south-carolina/	statute,fault,sol,damages,premises,medspecials
P2	0	16	1	post	en	y	/blog/how-pain-and-suffering-is-calculated-after-an-accident-in-georgia/	statute,fault,sol,damages,premises,medspecials
P2	0	16	1	post	en	y	/blog/how-pain-and-suffering-is-calculated-after-an-accident-in-south-carolina/	statute,fault,sol,damages,premises,medspecials
P2	0	16	1	resource	en	y	/resources/south-carolina-premises-liability-settlement-value/	statute,fault,sol,damages,premises,medspecials
P2	0	16	1	resource	en	y	/resources/south-carolina-slip-and-fall-settlement-value/	statute,fault,sol,damages,premises,medspecials
P2	0	16	1	practice_area	en	y	/personal-injury-lawyers/columbia-sc/	statute,fault,sol,damages,premises,medspecials
P2	0	16	0	post	en	y	/blog/rivers-avenue-pedestrian-deaths-north-charleston/	statute,fault,sol,damages,premises,medspecials
P2	0	16	0	practice_area	en	y	/personal-injury-lawyers/charleston-sc/	statute,fault,sol,damages,premises,medspecials
P2	0	16	0	practice_area	en	y	/personal-injury-lawyers/myrtle-beach-sc/	statute,fault,sol,damages,premises,medspecials
P2	0	15	5	practice_area	en	y	/golf-cart-accident-lawyers/golf-cart-vehicle-collision/	statute,seatbelt,fault,sol,damages
P2	0	15	5	practice_area	en	y	/atv-side-by-side-accident-lawyers/atv-road-collision/	statute,seatbelt,fault,sol,damages
P2	0	15	5	practice_area	en	y	/burn-injury-lawyers/vehicle-fire-burn/	statute,seatbelt,fault,sol,damages
P2	0	15	5	practice_area	en	y	/practice-areas/atv-side-by-side-accident-lawyers/	statute,seatbelt,fault,sol,damages
P2	0	15	5	practice_area	en	y	/practice-areas/electric-scooter-accident-lawyers/	statute,seatbelt,fault,sol,damages
P2	0	15	5	practice_area	en	y	/practice-areas/bicycle-accident-lawyers/	statute,seatbelt,fault,sol,damages
P2	0	15	4	post	en	y	/blog/determining-fault-in-multi-vehicle-accidents/	statute,seatbelt,fault,sol,damages
P2	0	15	4	post	en	y	/blog/daniel-island-accidents-event-traffic-golf-carts/	statute,seatbelt,fault,sol,damages
P2	0	15	4	practice_area	en	y	/golf-cart-accident-lawyers/darien-ga/	statute,seatbelt,fault,sol,damages
P2	0	15	4	practice_area	en	y	/golf-cart-accident-lawyers/savannah-ga/	statute,seatbelt,fault,sol,damages
P2	0	15	1	post	en	y	/blog/georgia-comparative-negligence-law/	statute,seatbelt,fault,sol,premises
P2	0	15	1	resource	en	y	/resources/south-carolina-car-seat-laws/	statute,seatbelt,fault,sol,medspecials
P2	0	15	0	post	en	y	/blog/litchfield-pawleys-island-golf-cart-accident-lawyer-georgetown-county/	statute,seatbelt,fault,sol,medspecials
P2	0	14	5	practice_area	en	y	/premises-liability-lawyers/parking-lot-garage-accident/	statute,fault,sol,damages,premises
P2	0	14	5	practice_area	en	y	/brain-injury-lawyers/penetrating-brain-injury/	statute,fault,sol,damages,premises
P2	0	14	5	practice_area	en	y	/construction-accident-lawyers/defective-construction-equipment/	statute,fault,sol,damages,medspecials
P2	0	14	5	practice_area	en	y	/burn-injury-lawyers/scalding-hot-liquid-burn/	statute,fault,sol,damages,premises
P2	0	14	5	practice_area	en	y	/slip-and-fall-lawyers/parking-lot-fall/	statute,fault,sol,damages,premises
P2	0	14	5	practice_area	en	y	/slip-and-fall-lawyers/grocery-store-slip-and-fall/	statute,fault,sol,damages,premises
P2	0	14	5	practice_area	en	y	/practice-areas/golf-cart-accident-lawyers/	statute,seatbelt,sol,damages,premises
